title,year,genre,country,imdbRating,imdbVotes
The Dinner Game,1998,Comedy,France,7.7,27265
Presumed Innocent,1990,"Crime, Drama, Mystery",USA,6.9,27276
Uptown Girls,2003,"Comedy, Drama, Romance",USA,6.1,27280
The Cat Returns,2002,"Animation, Adventure, Comedy",Japan,7.3,27280
Red Tails,2012,"Action, Adventure, Drama",USA,5.9,27286
Wasabi,2001,"Action, Drama, Comedy","France, Japan",6.6,27289
Nowhere Boy,2009,"Biography, Drama, Music","UK, Canada",7.2,27291
The Spy Next Door,2010,"Action, Comedy, Family",USA,5.4,27315
Lovelace,2013,"Biography, Drama",USA,6.2,27317
Spy Hard,1996,"Comedy, Action",USA,5.2,27335
Big Fat Liar,2002,"Adventure, Comedy, Family","USA, Germany",5.4,27335
The Day of the Jackal,1973,"Crime, Drama, Thriller","UK, France",7.8,27372
Femme Fatale,2002,"Crime, Drama, Mystery","France, Switzerland",6.3,27380
Ida,2013,Drama,"Poland, Denmark, France, UK",7.4,27380
Bullets Over Broadway,1994,"Comedy, Crime",USA,7.5,27412
The Baader Meinhof Complex,2008,"Action, Biography, Crime","Germany, France, Czech Republic",7.4,27413
Redirected,2014,"Action, Comedy, Crime","UK, Lithuania",6.8,27417
Adam,2009,"Drama, Romance",USA,7.2,27419
Nine 1/2 Weeks,1986,"Drama, Romance",USA,5.9,27423
Chitty Chitty Bang Bang,1968,"Adventure, Family, Fantasy",UK,6.9,27432
Exorcist: The Beginning,2004,"Horror, Mystery, Thriller",USA,5.1,27471
Bad Lieutenant,1992,"Crime, Drama",USA,7.1,27477
Zulu,1964,"Drama, History, War",UK,7.8,27495
Black Sheep,1996,Comedy,USA,6.2,27529
Kuch Kuch Hota Hai,1998,"Comedy, Musical, Romance",India,7.8,27541
Choke,2008,"Comedy, Drama",USA,6.5,27560
The Last Legion,2007,"Action, Adventure, Fantasy","UK, Italy, France, Tunisia",5.4,27569
The Hand That Rocks the Cradle,1992,"Drama, Thriller",USA,6.5,27578
Aquamarine,2006,"Comedy, Family, Fantasy","USA, Australia",5.2,27591
Central Station,1998,Drama,"Brazil, France",8,27592
Miracle on 34th Street,1947,"Comedy, Drama, Family",USA,7.9,27599
Heartbreak Ridge,1986,"Action, Comedy, Drama",USA,6.8,27611
Greenberg,2010,"Comedy, Drama, Romance",USA,6.1,27617
The Hunter,2011,"Adventure, Drama, Thriller",Australia,6.8,27630
Greenberg,2010,"Comedy, Drama, Romance",USA,6.1,27640
Apt Pupil,1998,"Drama, Thriller","USA, France",6.7,27667
Tutti lo sanno,2018,"Crime, Drama, Mystery","Spain, France, Italy, Argentina, Germany",6.9,27671
Oltre la notte,2017,"Crime, Drama, Thriller","Germany, France",7.1,27671
The Class,2008,Drama,France,7.5,27681
Balto,1995,"Animation, Adventure, Drama",USA,7,27692
Labor Day,2013,Drama,USA,6.9,27705
Welcome to the Sticks,2008,"Comedy, Romance",France,7.1,27712
Drumline,2002,"Comedy, Drama, Romance",USA,5.6,27724
The New Guy,2002,Comedy,USA,5.8,27746
Ravenous,1999,"Horror, Thriller","Czech Republic, UK, USA",7.1,27768
Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror","USA, France",5.7,27794
Blackhat,2015,"Action, Crime, Drama",USA,5.4,27798
Sex and Lucia,2001,"Drama, Romance","Spain, France",7.2,27805
Futurama: Bender's Big Score,2007,"Animation, Action, Adventure",USA,7.7,27828
Hit and Run,2012,"Action, Comedy, Romance",USA,6.1,27833
Chasing Liberty,2004,"Comedy, Romance","USA, UK",6.1,27839
Hellbound: Hellraiser II,1988,"Horror, Thriller","UK, USA",6.5,27849
Mean Machine,2001,"Comedy, Drama, Sport","UK, USA",6.5,27850
I Give It a Year,2013,"Comedy, Romance","UK, France",5.7,27872
Wild Target,2010,"Action, Comedy, Crime","UK, France",6.9,27876
Ore 15:17 - Attacco al treno,2018,"Biography, Drama, Thriller",USA,5.2,27885
Dead Calm,1989,Thriller,Australia,6.8,27893
Spie sotto copertura,2019,"Animation, Action, Adventure",USA,6.8,27906
Fiddler on the Roof,1971,"Drama, Family, Musical",USA,8,27906
A Close Shave,1995,"Animation, Short, Comedy",UK,8.3,27912
Sabrina,1995,"Comedy, Drama","Germany, USA",6.2,27923
What Ever Happened to Baby Jane?,1962,"Drama, Thriller",USA,8.1,27927
The Party,1968,Comedy,USA,7.6,27929
East of Eden,1955,Drama,USA,8,27929
Private Parts,1997,"Biography, Comedy, Drama",USA,6.8,27937
The Cooler,2003,"Drama, Romance",USA,7,27942
The Towering Inferno,1974,"Action, Drama, Thriller",USA,6.9,27947
The Party,1968,Comedy,USA,7.6,27979
Evita,1996,"Biography, Drama, History",USA,6.3,27994
The Nines,2007,"Drama, Fantasy, Mystery",USA,6.4,28003
Hollywoodland,2006,"Biography, Crime, Drama",USA,6.5,28004
Shattered Glass,2003,"Drama, History","USA, Canada",7.2,28020
Bulletproof,1996,"Action, Comedy, Crime",USA,5.8,28025
Encino Man,1992,Comedy,USA,5.6,28038
Two Lovers,2008,"Drama, Romance","USA, France",7.1,28049
Codice Unlocked,2017,"Action, Drama, Mystery","Czech Republic, Switzerland, UK, USA, France",6.2,28056
Wild Card,2015,"Action, Crime, Drama",USA,5.6,28062
High Crimes,2002,"Crime, Drama, Mystery",USA,6.3,28062
Byzantium,2012,"Drama, Fantasy, Horror","UK, USA, Ireland",6.5,28072
Bully,2001,"Crime, Drama","USA, France, UK",7,28103
A Royal Affair,2012,"Biography, Drama, History","Denmark, Sweden, Czech Republic",7.6,28123
Nine Months,1995,"Comedy, Romance",USA,5.4,28160
The Messenger,2009,"Drama, Romance, War",USA,7.2,28170
Igby Goes Down,2002,"Comedy, Drama",USA,7,28178
Enough,2002,"Crime, Drama, Thriller",USA,5.6,28210
The Double,2013,"Comedy, Drama, Thriller",UK,6.5,28215
The Merchant of Venice,2004,"Drama, Romance","USA, Italy, Luxembourg, UK",7.1,28216
Brick Mansions,2014,"Action, Crime, Drama","France, Canada",5.7,28238
Le Samoura�,1967,"Crime, Drama, Mystery","France, Italy",8.1,28252
Cowboy Bebop: The Movie,2001,"Animation, Action, Crime","Japan, USA",7.9,28305
Everyone Says I Love You,1996,"Comedy, Musical, Romance",USA,6.8,28309
Annie,1982,"Comedy, Drama, Family",USA,6.5,28318
Thirst,2009,"Drama, Horror, Thriller",South Korea,7.2,28354
Gallipoli,1981,"Adventure, Drama, History",Australia,7.5,28364
Thirst,2009,"Drama, Horror, Thriller",South Korea,7.2,28375
Sea of Love,1989,"Crime, Drama, Mystery",USA,6.8,28377
The Ant Bully,2006,"Animation, Adventure, Comedy",USA,5.9,28382
Il castello di vetro,2017,"Biography, Drama",USA,7.1,28388
Stagecoach,1939,"Adventure, Western",USA,7.9,28393
A Thousand Words,2012,"Comedy, Drama",USA,5.9,28403
The Descent: Part 2,2009,"Adventure, Horror, Thriller",UK,5.8,28416
A Thousand Words,2012,"Comedy, Drama",USA,5.9,28432
Birth,2004,"Drama, Mystery, Romance","USA, UK, Germany, France",6.1,28449
Evil,2003,Drama,"Sweden, Denmark",7.8,28449
Loveless,2017,Drama,"Russia, France, Germany, Belgium",7.6,28454
Asterix and Obelix vs. Caesar,1999,"Adventure, Comedy, Family","France, Italy, Germany",5.8,28478
Spider,2002,"Drama, Mystery, Thriller","Canada, UK, France",6.9,28488
Laura,1944,"Crime, Drama, Film-Noir",USA,8.1,28491
Keith,2008,"Drama, Romance",USA,7.5,28502
Beverly Hills Ninja,1997,"Action, Comedy",USA,5.4,28510
The Protector,2005,"Action, Crime, Drama","Thailand, USA, Hong Kong",7.1,28513
The Believer,2001,Drama,USA,7.3,28532
Bird on a Wire,1990,"Action, Comedy, Romance",USA,5.8,28560
La scoperta,2017,"Drama, Romance, Sci-Fi",USA,6.3,28565
Withnail & I,1987,"Comedy, Drama",UK,7.8,28576
Day Watch,2006,"Action, Fantasy, Thriller",Russia,6.6,28584
Night of the Living Dead,1990,"Horror, Thriller",USA,6.9,28597
The Descent: Part 2,2009,"Adventure, Horror, Thriller",UK,5.8,28615
The Italian Job,1969,"Action, Comedy, Crime",UK,7.4,28616
"Batman: The Dark Knight Returns, Part 1",2012,"Animation, Action, Crime",USA,8,28619
Cyrus,2010,"Comedy, Drama, Romance",USA,6.3,28638
The Guilt Trip,2012,"Comedy, Drama",USA,5.8,28639
Child's Play 2,1990,Horror,USA,5.7,28650
La Missy sbagliata,2020,"Comedy, Romance",USA,5.7,28650
Frenzy,1972,Thriller,UK,7.5,28654
Bringing Down the House,2003,Comedy,USA,5.5,28694
The Zero Theorem,2013,"Drama, Fantasy, Sci-Fi","UK, Romania, France, USA",6.1,28696
Bringing Down the House,2003,Comedy,USA,5.5,28711
Yedinci Kogustaki Mucize,2019,Drama,Turkey,8.3,28714
Kicking & Screaming,2005,"Comedy, Family, Romance",USA,5.5,28752
Vivarium,2019,"Comedy, Horror, Mystery","Ireland, Belgium, Denmark, Canada",5.8,28761
Veer-Zaara,2004,"Drama, Musical, Romance",India,7.9,28763
Mr. Holland's Opus,1995,"Drama, Music",USA,7.3,28775
Friday the 13th Part III,1982,"Horror, Thriller",USA,5.7,28797
After.Life,2009,"Drama, Horror, Mystery",USA,5.9,28797
The Dead Pool,1988,"Action, Crime, Mystery",USA,6.3,28821
Undercover Brother,2002,"Action, Comedy",USA,5.8,28830
Sudden Impact,1983,"Action, Thriller",USA,6.6,28860
Il coraggio della verità - The Hate U Give,2018,"Crime, Drama",USA,7.4,28869
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,Comedy,USA,6.8,28882
Mickey Blue Eyes,1999,"Comedy, Crime, Romance","UK, USA",5.8,28885
Straight Outta Compton,2015,"Biography, Drama, Music",USA,8.3,28885
Hearts in Atlantis,2001,"Drama, Mystery","USA, Australia",6.9,28888
A Life Less Ordinary,1997,"Comedy, Crime, Fantasy","UK, USA",6.4,28938
Taxi 3,2003,"Action, Comedy",France,5.7,28950
The Divide,2011,"Drama, Sci-Fi, Thriller","Germany, USA, Canada, France",5.8,28958
Nothing But the Truth,2008,"Crime, Drama, Mystery",USA,7.2,29004
The King of Kong: A Fistful of Quarters,2007,"Documentary, Biography, Sport",USA,8.2,29008
Gia,1998,"Biography, Drama",USA,7,29031
The Return,2003,"Drama, Mystery, Thriller",Russia,8,29067
Hamlet,1996,Drama,"UK, USA",7.8,29078
The Report,2019,"Biography, Crime, Drama",USA,7.2,29091
Assault on Precinct 13,1976,"Action, Crime, Thriller",USA,7.4,29131
Il richiamo della foresta,2020,"Adventure, Drama, Family","Canada, USA",6.8,29152
Small Time Crooks,2000,"Comedy, Crime",USA,6.7,29174
"Lust, Caution",2007,"Drama, Romance, Thriller","USA, China, Taiwan",7.6,29176
Raising Helen,2004,"Comedy, Drama, Romance",USA,6,29181
Broken Embraces,2009,"Drama, Romance, Thriller",Spain,7.2,29185
Boy Erased - Vite cancellate,2018,"Biography, Drama","Australia, USA",6.9,29188
La vedova Winchester,2018,"Biography, Drama, Fantasy","Australia, USA",5.4,29208
The Last Picture Show,1971,Drama,USA,8.1,29214
Fred Claus,2007,"Comedy, Family, Fantasy",USA,5.6,29235
Small Time Crooks,2000,"Comedy, Crime",USA,6.7,29236
Zelig,1983,Comedy,USA,7.8,29258
Sleepless - Il giustiziere,2017,"Action, Crime, Thriller",USA,5.6,29261
The Tall Man,2012,"Crime, Drama, Horror","USA, Canada, France",6,29266
The Prince and Me,2004,"Comedy, Romance","USA, Czech Republic",5.9,29274
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",Turkey,7.9,29284
Shutter,2004,"Horror, Mystery, Thriller",Thailand,7.1,29292
Police Academy 3: Back in Training,1986,"Comedy, Crime",USA,5.1,29317
Mighty Aphrodite,1995,"Comedy, Fantasy, Romance",USA,7.1,29370
Il professore e il pazzo,2019,"Biography, Drama","Ireland, France, Iceland, USA, Mexico, Belgium, UK, Hong Kong",7.3,29389
The First Wives Club,1996,Comedy,USA,6.1,29397
Batman: Under the Red Hood,2010,"Animation, Action, Crime",USA,8,29421
The Tournament,2009,"Action, Thriller","UK, USA",6.1,29433
Chhichhore,2019,"Comedy, Drama",India,8.2,29437
Diary of a Wimpy Kid,2010,"Comedy, Family",USA,6.2,29446
A Hard Day's Night,1964,"Comedy, Musical",UK,7.7,29446
Nurse Betty,2000,"Comedy, Crime, Drama","Germany, USA",6.3,29450
Odd Thomas,2013,"Comedy, Fantasy, Mystery",USA,6.9,29475
Orgazmo,1997,Comedy,"USA, Japan",6.2,29476
Maria Full of Grace,2004,"Crime, Drama","Colombia, USA, Ecuador",7.5,29480
Ju-on: The Grudge,2002,Horror,Japan,6.7,29505
The Shack,2017,"Drama, Fantasy","USA, Canada, Hong Kong",6.3,29510
Oliver & Company,1988,"Animation, Adventure, Family",USA,6.7,29523
Bride of Frankenstein,1935,"Horror, Sci-Fi",USA,7.9,29528
Reindeer Games,2000,"Action, Crime, Drama",USA,5.7,29531
The Damned United,2009,"Biography, Comedy, Drama",UK,7.6,29550
Old Dogs,2009,"Comedy, Family",USA,5.3,29551
Monte Carlo,2011,"Adventure, Comedy, Romance","Hungary, USA",5.8,29554
Detroit Rock City,1999,"Comedy, Music",USA,6.8,29583
Replicas,2018,"Drama, Sci-Fi, Thriller","UK, China, Puerto Rico, USA",5.5,29587
Behind the Candelabra,2013,"Biography, Drama, Romance",USA,7,29590
The Rover,2014,"Crime, Drama","Australia, USA",6.4,29603
Anna and the King,1999,"Drama, History, Romance",USA,6.7,29621
How the Grinch Stole Christmas!,1966,"Animation, Comedy, Family",USA,8.4,29622
Mute,2018,"Mystery, Sci-Fi, Thriller","UK, Germany",5.4,29623
Ghost Stories,2017,"Drama, Horror",UK,6.4,29630
Coco Before Chanel,2009,"Biography, Drama","France, Belgium",6.7,29637
Generation Kill,2008,"Drama, War","USA, UK",8.7,29637
Happy Feet 2,2011,"Animation, Comedy, Family",Australia,5.9,29650
It's a Boy Girl Thing,2006,"Comedy, Fantasy, Romance","USA, UK, Canada",6.3,29653
Da 5 Bloods - Come fratelli,2020,"Adventure, Drama, War",USA,6.5,29694
The Best of Me,2014,"Drama, Romance",USA,6.6,29702
Turistas,2006,"Horror, Mystery, Thriller",USA,5.3,29726
Gully Boy,2019,"Drama, Music",India,8.1,29747
Family Guy Presents Stewie Griffin: The Untold Story,2005,"Animation, Adventure, Comedy",USA,7.7,29760
Porky's,1981,Comedy,"Canada, USA",6.1,29766
World's Greatest Dad,2009,"Comedy, Drama",USA,7,29769
Operation Finale,2018,"Biography, Drama, History",USA,6.6,29814
The Enforcer,1976,"Action, Crime, Thriller",USA,6.8,29827
Mr. Woodcock,2007,"Comedy, Romance, Sport",USA,5.1,29834
The Curse of the Jade Scorpion,2001,"Comedy, Crime, Mystery","USA, Germany",6.8,29838
The Water Horse,2007,"Adventure, Family, Fantasy","New Zealand, UK, Australia",6.5,29840
The Tale of Despereaux,2008,"Adventure, Animation, Comedy","UK, USA",6.1,29856
The Curse of the Jade Scorpion,2001,"Comedy, Crime, Mystery","USA, Germany",6.8,29871
Fear,1996,"Drama, Thriller",USA,6.2,29878
The Invisible,2007,"Crime, Drama, Fantasy","USA, Canada",6.3,29888
Hollywood Homicide,2003,"Action, Comedy, Crime",USA,5.3,29943
Confidence,2003,"Crime, Thriller","USA, Canada, Germany",6.7,29948
Freaks,1932,"Drama, Horror",USA,8,29972
The Past,2013,"Drama, Mystery","France, Italy, Iran",7.9,29974
Baby's Day Out,1994,"Adventure, Comedy, Crime",USA,5.9,29990
The Great Mouse Detective,1986,"Animation, Adventure, Family",USA,7.2,30004
Chopper,2000,"Biography, Comedy, Crime",Australia,7.2,30009
Beneath the Planet of the Apes,1970,"Action, Adventure, Sci-Fi",USA,6.1,30020
Tolkien,2019,"Biography, Drama, Romance",USA,6.8,30026
Of Mice and Men,1992,Drama,USA,7.6,30043
The Pink Panther 2,2009,"Adventure, Comedy, Crime",USA,5.5,30058
The Imposter,2012,"Documentary, Biography, Thriller",UK,7.5,30074
Summer of Sam,1999,"Crime, Drama, Romance",USA,6.6,30076
Me and You and Everyone We Know,2005,"Comedy, Drama","USA, UK",7.4,30111
Roxanne,1987,"Comedy, Romance",USA,6.6,30136
Dracula,1931,Horror,USA,7.6,30184
Deadfall,2012,"Crime, Drama, Thriller","USA, France",6.3,30211
Smokey and the Bandit,1977,"Action, Comedy",USA,6.8,30233
Kon-Tiki,2012,"Adventure, History","UK, Norway, Denmark, Germany, Sweden",7.2,30272
The Ringer,2005,"Comedy, Sport",USA,5.8,30293
Money Train,1995,"Action, Comedy, Crime",USA,5.5,30308
Stanlio e Ollio,2018,"Biography, Comedy, Drama","UK, Canada, USA",7.2,30317
Midnight in the Garden of Good and Evil,1997,"Crime, Drama, Mystery",USA,6.6,30318
The Libertine,2004,Drama,"UK, Australia",6.4,30408
Buffy the Vampire Slayer,1992,"Action, Comedy, Fantasy",USA,5.5,30409
Gridiron Gang,2006,"Crime, Drama, Sport",USA,6.9,30412
Nick of Time,1995,"Action, Crime, Drama",USA,6.3,30416
The River Wild,1994,"Action, Adventure, Crime",USA,6.3,30436
The Perfect Date,2019,"Comedy, Romance",USA,5.8,30444
Dragonfly,2002,"Drama, Fantasy, Mystery","USA, Germany",6,30447
Tae Guk Gi: The Brotherhood of War,2004,"Action, Drama, War",South Korea,8.2,30447
The Girl Who Leapt Through Time,2006,"Animation, Comedy, Drama",Japan,7.9,30454
Defendor,2009,"Comedy, Crime, Drama","Canada, USA, UK",6.9,30466
Les Mis�rables,1998,"Crime, Drama, History","UK, Germany, USA",7.5,30472
Un Chien Andalou,1929,Short,France,7.9,30481
On the Road,2012,"Adventure, Drama","France, USA, UK, Brazil, Canada, Argentina",6.1,30483
Dr. Horrible's Sing-Along Blog,2008,"Comedy, Musical, Sci-Fi",USA,8.7,30488
Romper Stomper,1992,"Crime, Drama",Australia,6.8,30493
Ghajini,2008,"Action, Drama, Mystery",India,7.3,30495
Million Dollar Arm,2014,"Biography, Drama, Sport",USA,7.1,30507
Because I Said So,2007,"Comedy, Romance",USA,5.6,30509
Whiteout,2009,"Action, Crime, Mystery","USA, Canada, France, Turkey",5.5,30544
Under the Silver Lake,2018,"Crime, Drama, Mystery",USA,6.5,30560
The Transformers: The Movie,1986,"Animation, Action, Adventure","USA, Japan",7.3,30574
On the Road,2012,"Adventure, Drama","France, USA, UK, Brazil, Canada, Argentina",6.1,30623
Homeward Bound: The Incredible Journey,1993,"Adventure, Comedy, Drama",USA,6.9,30629
Spread,2009,"Comedy, Drama, Romance",USA,5.9,30631
Severance,2006,"Comedy, Horror, Thriller","UK, Germany, Hungary",6.6,30635
Spellbound,1945,"Film-Noir, Mystery, Romance",USA,7.7,30640
License to Wed,2007,"Comedy, Romance","USA, Australia",5.2,30647
The Horse Whisperer,1998,"Drama, Romance, Western",USA,6.5,30662
Vegas Vacation,1997,Comedy,USA,5.9,30694
Happy-Go-Lucky,2008,"Comedy, Drama",UK,7,30701
In a Better World,2010,Drama,"Denmark, Sweden",7.7,30712
The Endless,2017,"Drama, Fantasy, Horror",USA,6.5,30725
After,2019,"Drama, Romance",USA,5.4,30745
True Grit,1969,"Adventure, Western, Drama",USA,7.4,30753
Fahrenheit 451,1966,"Drama, Sci-Fi",UK,7.2,30813
The Air I Breathe,2007,"Crime, Drama, Thriller","Mexico, USA",6.9,30829
Togo - Una grande amicizia,2019,"Adventure, Biography, Drama",USA,8.0,30833
Starman,1984,"Adventure, Drama, Romance",USA,7,30837
Guns Akimbo,2019,"Action, Comedy, Thriller","UK, Germany, New Zealand",6.3,30840
G-Force,2009,"Action, Adventure, Comedy",USA,5.1,30843
Code 8,2019,"Action, Crime, Drama",Canada,6.1,30859
Radio,2003,"Biography, Drama, Sport",USA,6.9,30872
Vittoria e Abdul,2017,"Biography, Drama, History","UK, USA",6.8,30878
Deception,2008,"Crime, Drama, Mystery",USA,6,30921
Clash of the Titans,1981,"Adventure, Family, Fantasy",USA,6.9,30926
North Country,2005,Drama,USA,7.3,30939
In & Out,1997,Comedy,USA,6.3,30950
Cleaner,2007,"Crime, Drama, Mystery",USA,6.1,30970
The Santa Clause 2,2002,"Comedy, Family, Fantasy",USA,5.5,31007
End of Justice - Nessuno è innocente,2017,"Crime, Drama, Thriller","Canada, United Arab Emirates, USA",6.5,31024
The Muppet Christmas Carol,1992,"Comedy, Drama, Family",USA,7.7,31024
The Poseidon Adventure,1972,"Action, Adventure, Drama",USA,7.1,31045
Ginger Snaps,2000,"Drama, Fantasy, Horror","Canada, USA",6.8,31068
The Rocker,2008,"Comedy, Music",USA,6.2,31134
Sleeper,1973,"Comedy, Sci-Fi",USA,7.3,31139
Dhoom:3,2013,"Action, Crime, Thriller",India,5.5,31143
In the Bedroom,2001,"Crime, Drama",USA,7.5,31144
Spun,2002,"Comedy, Crime, Drama",USA,6.8,31152
Ladyhawke,1985,"Adventure, Drama, Fantasy",USA,7,31180
Summer of 84,2018,"Drama, Horror, Mystery",Canada,6.7,31194
Cat on a Hot Tin Roof,1958,"Drama, Romance",USA,8.1,31205
Chennai Express,2013,"Action, Comedy, Romance",India,5.9,31269
Don't Look Now,1973,"Drama, Horror, Thriller","UK, Italy",7.4,31270
The Little Rascals,1994,"Comedy, Family, Romance",USA,6.2,31299
The Savages,2007,"Comedy, Drama",USA,7.2,31350
Casualties of War,1989,"Drama, History, War",USA,7.1,31352
The Joneses,2009,"Comedy, Drama",USA,6.5,31362
From Here to Eternity,1953,"Drama, Romance, War",USA,7.8,31376
Forbidden Planet,1956,"Action, Adventure, Family",USA,7.7,31378
Children of the Corn,1984,Horror,USA,5.6,31429
A Haunted House,2013,"Comedy, Horror",USA,5.1,31442
Arif V 216,2018,"Comedy, Music, Sci-Fi",Turkey,7.1,31444
Baby Mama,2008,"Comedy, Romance",USA,6.1,31484
Middle Men,2009,"Comedy, Crime, Drama",USA,6.6,31529
Haider,2014,"Crime, Drama, Romance",India,8.4,31553
The Wages of Fear,1953,"Adventure, Drama, Thriller","France, Italy",8.2,31560
A Goofy Movie,1995,"Animation, Adventure, Comedy",USA,6.8,31563
Adam's Apples,2005,"Comedy, Crime, Drama","Denmark, Germany",7.9,31563
Better Off Dead...,1985,"Comedy, Romance",USA,7.3,31579
Marnie,1964,"Drama, Thriller",USA,7.2,31582
Noi siamo tutto,2017,"Drama, Romance",USA,6.4,31590
Southland Tales,2006,"Comedy, Drama, Sci-Fi","France, Germany, USA",5.5,31625
Down with Love,2003,"Comedy, Romance","USA, Germany",6.3,31672
This Boy's Life,1993,"Biography, Drama",USA,7.3,31684
Il club del libro e della torta di bucce di patata di Guernsey,2018,"Drama, Romance, War","UK, France, USA",7.4,31727
The Ward,2010,"Horror, Thriller",USA,5.6,31733
Enemy Mine,1985,"Action, Adventure, Drama","USA, West Germany",6.9,31742
Cedar Rapids,2011,Comedy,USA,6.3,31747
A Most Violent Year,2014,"Action, Crime, Drama","USA, United Arab Emirates",7.1,31753
K.G.F: Chapter 1,2018,"Action, Drama",India,8.2,31765
Invasion of the Body Snatchers,1956,"Horror, Sci-Fi",USA,7.8,31771
Life,1999,"Comedy, Crime, Drama",USA,6.6,31786
Think Like a Man,2012,"Comedy, Romance",USA,6.6,31815
1,2014,"Action, Mystery, Thriller",India,8.7,31838
Teen Wolf,1985,"Comedy, Fantasy",USA,6,31862
Boy A,2007,Drama,UK,7.7,31909
Striking Distance,1993,"Action, Crime, Mystery",USA,5.8,31910
Steel Magnolias,1989,"Comedy, Drama, Romance",USA,7.2,31912
Scanners,1981,"Horror, Sci-Fi",Canada,6.8,31928
Saving Silverman,2001,"Comedy, Crime, Romance","USA, Australia",5.9,31934
Smallfoot: Il mio amico delle nevi,2018,"Animation, Adventure, Comedy",USA,6.6,31935
This Is It,2009,"Documentary, Music",USA,7.3,31947
Repulsion,1965,"Drama, Horror, Thriller",UK,7.8,31952
Arthur Christmas,2011,"Animation, Comedy, Drama","UK, USA",7.1,31953
The Chaser,2008,Thriller,South Korea,7.9,31958
The Messengers,2007,"Drama, Horror, Thriller",USA,5.4,31977
Flashdance,1983,"Drama, Romance, Music",USA,6.1,32003
The Colony,2013,"Action, Horror, Sci-Fi",Canada,5.3,32014
Life of the Party - Una mamma al college,2018,Comedy,USA,5.6,32014
Spies Like Us,1985,"Adventure, Comedy",USA,6.3,32018
Joe,2013,Drama,USA,6.9,32024
Trespass,2011,"Crime, Drama, Thriller","USA, Bulgaria",5.3,32027
One for the Money,2012,"Action, Comedy, Crime",USA,5.3,32041
Flight of the Navigator,1986,"Adventure, Family, Sci-Fi","USA, Norway",6.9,32051
Planes,2013,"Animation, Adventure, Comedy",USA,5.7,32054
Hold the Dark,2018,"Action, Drama, Horror",USA,5.6,32064
Hope Springs,2012,"Comedy, Drama, Romance",USA,6.3,32068
Hustle & Flow,2005,"Crime, Drama, Music",USA,7.4,32074
Hoosiers,1986,"Drama, Sport","UK, USA",7.6,32089
The Hitcher,1986,Thriller,USA,7.3,32103
Trust,2010,"Crime, Drama, Thriller",USA,7,32114
Southpaw,2015,"Action, Drama, Sport",USA,7.7,32128
The Legend of Drunken Master,1994,"Action, Comedy",Hong Kong,7.6,32160
Romy and Michele's High School Reunion,1997,Comedy,USA,6.1,32168
My Father and My Son,2005,Drama,Turkey,8.7,32181
Stake Land,2010,"Drama, Horror, Sci-Fi",USA,6.5,32214
Kelly's Heroes,1970,"Adventure, Comedy, War","Yugoslavia, USA",7.7,32219
Arizona Dream,1992,"Comedy, Drama, Fantasy","USA, France",7.4,32223
Guess Who,2005,"Comedy, Romance",USA,5.9,32228
JCVD,2008,"Comedy, Crime, Drama","Belgium, Luxembourg, France",7.2,32231
Glory Road,2006,"Biography, Drama, Sport",USA,7.2,32244
Ayla: The Daughter of War,2017,"Biography, Drama, History",Turkey,8.5,32247
28 Days,2000,"Comedy, Drama",USA,6,32275
Tigerland,2000,"Drama, War","USA, Germany",7,32279
Gone,2012,"Drama, Mystery, Thriller",USA,5.9,32285
Idle Hands,1999,"Comedy, Horror, Thriller",USA,6.2,32296
Three Days of the Condor,1975,"Mystery, Thriller",USA,7.5,32344
Queen,2014,"Adventure, Comedy, Drama",India,8.5,32358
The Bandit,1996,"Crime, Drama, Thriller",Turkey,8.5,32364
Teeth,2007,"Comedy, Horror, Thriller",USA,5.5,32373
Soul Surfer,2011,"Biography, Drama, Sport",USA,7.1,32380
Ironclad,2011,"Action, Adventure, History","UK, Switzerland, USA, Germany",6.2,32387
Rock Star,2001,"Comedy, Drama, Music",USA,6.2,32433
People Like Us,2012,Drama,USA,7.1,32433
Stuart Little 2,2002,"Animation, Adventure, Comedy",USA,5.4,32443
Hard Target,1993,"Action, Thriller",USA,6.1,32457
The Big Year,2011,Comedy,USA,6.2,32475
Ordinary People,1980,Drama,USA,7.9,32484
Wild Child,2008,"Comedy, Drama, Romance","USA, UK, France",6.1,32492
Amiche di sangue,2017,"Comedy, Crime, Drama",USA,6.7,32554
Grumpy Old Men,1993,"Comedy, Drama",USA,6.9,32570
Black Death,2010,"Action, Adventure, Drama","Germany, UK",6.4,32582
Conviction,2010,"Biography, Drama",USA,7.2,32583
Big Stan,2007,"Action, Comedy",USA,6.2,32587
Blood Work,2002,"Action, Crime, Drama",USA,6.4,32600
13,2010,"Drama, Thriller",USA,6.1,32620
Capitalism: A Love Story,2009,Documentary,USA,7.4,32630
Anonymous,2011,"Drama, History, Thriller","UK, Germany, USA",6.9,32634
Catfish,2010,Documentary,USA,7.1,32643
Bad Words,2013,"Comedy, Drama",USA,6.7,32644
Sinbad: Legend of the Seven Seas,2003,"Animation, Adventure, Comedy",USA,6.7,32647
Wyatt Earp,1994,"Action, Adventure, Biography",USA,6.6,32670
The Spanish Apartment,2002,"Comedy, Drama","France, Spain",7.3,32676
