title,year,genre,country,imdbRating,imdbVotes
Son of the Bride,2001,"Comedy, Drama","Argentina, Spain",7.9,10480
The Panic in Needle Park,1971,Drama,USA,7.1,10481
Planes: Fire & Rescue,2014,"Animation, Adventure, Comedy",USA,5.9,10482
Convoy,1978,"Action, Drama","USA, UK",6.3,10483
The Heir Apparent: Largo Winch,2008,"Action, Adventure, Thriller","France, Belgium",6.5,10483
The Deep Blue Sea,2011,"Drama, Romance","USA, UK",6.3,10485
Operazione Hummingbird - È tutto appeso a un filo,2018,"Drama, Thriller","Canada, Belgium",6.2,10486
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"Animation, Action, Adventure","Japan, France",7.9,10486
Becket,1964,"Biography, Drama, History","UK, USA",8,10492
"Now, Voyager",1942,"Drama, Romance",USA,8.1,10494
Mrs Brown,1997,"Biography, Drama, History","UK, Ireland, USA",7.3,10496
Stalingrad,2013,"Action, Drama, War",Russia,5.6,10497
Lord of Illusions,1995,"Horror, Mystery, Thriller",USA,6,10502
Mrs. Miniver,1942,"Drama, War",USA,7.6,10507
Revanche,2008,"Crime, Drama, Romance",Austria,7.6,10508
The Brass Teapot,2012,"Comedy, Fantasy, Thriller",USA,6.4,10510
I Love You to Death,1990,"Comedy, Crime",USA,6.4,10512
Night Train to Lisbon,2013,"Mystery, Romance, Thriller","Germany, Switzerland, Portugal",6.8,10515
The Philadelphia Experiment,1984,"Adventure, Biography, Drama",USA,6.1,10518
Red Beard,1965,Drama,Japan,8.3,10520
Dark Hall,2018,"Drama, Fantasy, Horror","Spain, USA",5.1,10525
Journey to the Center of the Earth,1959,"Adventure, Family, Fantasy",USA,7,10526
The Class,2007,Drama,Estonia,8,10526
Life of Crime,2013,"Comedy, Crime",USA,5.8,10531
Pina,2011,Documentary,"Germany, France, UK",7.7,10536
Alien Nation,1988,"Action, Crime, Sci-Fi",USA,6.3,10537
Basket Case,1982,"Comedy, Horror",USA,6.1,10552
SpaceCamp,1986,"Adventure, Family, Sci-Fi",USA,5.6,10562
With Honors,1994,"Comedy, Drama",USA,6.7,10565
The Front Runner - Il vizio del potere,2018,"Biography, Drama, History","Canada, USA",6.1,10566
A Girl Walks Home Alone at Night,2014,Horror,USA,7.1,10566
Gangster No. 1,2000,"Crime, Drama, Thriller","UK, Germany, Ireland",6.8,10576
Snow Angels,2007,"Drama, Romance",USA,7,10576
Tightrope,1984,"Crime, Drama, Mystery",USA,6.3,10577
Shinobi: Heart Under Blade,2005,"Action, Drama, Fantasy",Japan,7,10580
Diabolique,1996,"Drama, Horror, Thriller",USA,5.3,10582
Shinobi: Heart Under Blade,2005,"Action, Drama, Fantasy",Japan,7,10582
i,2015,"Action, Romance, Thriller",India,7.8,10583
The Incredible Shrinking Man,1957,"Drama, Sci-Fi, Thriller",USA,7.7,10584
Before the Rain,1994,"Drama, War","Republic of Macedonia, France, UK",8.1,10587
When the Game Stands Tall,2014,"Drama, Sport",USA,6.7,10591
Lenny,1974,"Biography, Drama",USA,7.6,10592
The Abandoned,2006,"Horror, Mystery, Thriller","Spain, UK, Bulgaria",5.7,10597
Sparks,2013,"Action, Thriller",USA,6.1,10597
Rory O'Shea Was Here,2004,"Comedy, Drama","UK, Ireland, France",7.9,10597
The Congress,2013,"Animation, Drama, Sci-Fi","Israel, Germany, Poland, Luxembourg, Belgium, France",6.5,10604
Copying Beethoven,2006,"Biography, Drama, Music","USA, Germany, Hungary",6.8,10607
The Big Country,1958,"Drama, Romance, Western",USA,7.9,10612
A Hijacking,2012,"Drama, Thriller",Denmark,7.2,10613
6 Bullets,2012,"Action, Crime, Thriller",USA,6.1,10614
Reversal of Fortune,1990,"Biography, Drama, Mystery","USA, Japan, UK",7.3,10614
Reign of the Supermen,2019,"Animation, Action, Adventure",USA,6.8,10615
The Wild One,1953,Drama,USA,6.9,10619
Threesome,1994,"Comedy, Romance, Drama",USA,6.2,10620
El crimen del padre Amaro,2002,"Drama, Romance","Mexico, Spain, Argentina, France",6.8,10621
Rory O'Shea Was Here,2004,"Comedy, Drama","UK, Ireland, France",7.9,10626
Coffee & Kareem,2020,"Action, Comedy",USA,5.1,10627
Time After Time,1979,"Adventure, Drama, Romance",USA,7.2,10627
Replicant,2001,"Action, Sci-Fi, Thriller",USA,5.3,10642
A Man Escaped,1956,"Drama, Thriller, War",France,8.1,10644
CJ7,2008,"Comedy, Family, Sci-Fi",Hong Kong,6.5,10646
Police Story 2,1988,"Action, Comedy, Crime",Hong Kong,7.2,10646
Parkland,2013,"Drama, History, Mystery",USA,6.3,10651
Bala,2019,Comedy,India,7.4,10652
New World,2013,"Action, Crime, Drama",South Korea,7.6,10653
Atlantic City,1980,"Crime, Drama, Romance","Canada, France",7.4,10655
Erik the Viking,1989,"Comedy, Adventure, Fantasy","UK, Sweden",6.2,10659
The Mirror Has Two Faces,1996,"Comedy, Drama, Romance",USA,6.4,10666
Hallam Foe,2007,"Drama, Mystery, Romance",UK,7.1,10667
"No Retreat, No Surrender",1986,"Action, Crime, Drama","USA, Hong Kong",5.6,10668
Point Blank,2010,"Action, Crime, Thriller",France,6.8,10668
Tiny Furniture,2010,"Comedy, Drama",USA,6.3,10686
Sunshine,1999,"Drama, History, Romance","Germany, Austria, Canada, Hungary, France",7.5,10687
Le nostre anime di notte,2017,"Drama, Romance",USA,6.9,10689
Pulse,2001,"Horror, Mystery, Thriller",Japan,6.6,10692
The Russia House,1990,"Drama, Romance, Thriller",USA,6.1,10695
Pillow Talk,1959,"Comedy, Romance",USA,7.5,10698
Clockstoppers,2002,"Adventure, Sci-Fi, Thriller",USA,5.2,10703
